COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,9.2,7.1,0,0,8.1,6.2,10,10,10,8.8,6.6,5,8.2,6.6,9.1,1.2,7.2,0.3,7.1,4.7,7.5,7.1,6.3,8.3,7.3,7.9,8.5,8,8.1,7.7,7.8,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,6.2,4.9,7.4,0,7.8,5.8,0.1,0,0.1,3.5,1.8,2,2.2,2,0,0.3,1.3,0.7,3.2,1.4,0.7,1.4,x,5.8,5.8,2.4,1.6,4,2.7,4.4,2.8,120,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,5.5,5.4,3.4,0,5,4.1,9.5,0,6.7,5.5,3.3,5.5,0.2,3.1,5.3,0.5,1.4,0,1.7,0.9,3.4,3.3,3.5,6.2,4.9,4.7,4.8,4.2,4.6,4.8,4.4,62,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,0.1,5,0,0,4.1,2.1,7.7,0,5.4,3.9,6.4,4.4,0.2,4.4,3.7,6.6,6.8,0,4.6,5,4.4,4.4,5.3,7.9,6.6,6.7,8.4,7,7.4,7,4.9,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,0.4,0.1,0,8.2,0,2.7,0.9,0,0.6,1.7,2.6,x,0.3,1.8,1,0.1,0.6,0,2.3,0.8,0.9,1.4,5.4,5.2,5.3,2.2,0.5,3.2,2,3.8,2.1,145,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,5.1,6.6,0,0,3.7,3.5,3.4,0,2.4,3,0.9,4.7,0,1.6,1.7,0.7,0.8,0.2,0,0.4,1.1,1.4,3.8,6.1,5,1.5,2.9,2.1,2.2,3.7,2.5,135,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,8,4.7,0,0,5.7,4.4,3.4,0,2.4,3.5,1.8,2.9,2,2.1,5.2,0.6,1.2,0,4.2,1.7,3.7,2.9,7.5,5.9,6.7,2.5,1.4,3.3,2.4,4.9,3.7,91,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,4,5.3,6.6,4.7,8.1,6,0.1,0,0.1,3.6,0.2,2,0,0.6,4.4,0.3,0.2,0.1,0.9,0.4,2.6,1.7,2.4,2,2.2,1.7,3,0.9,1.9,2.1,2.3,141,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,4,5.6,0,0,0.5,2.4,0,0,0,1.3,1,1.1,0,0.8,5.8,0.1,0.3,0,0.3,0.2,3.5,2.3,2,2.2,2.1,1.5,0,1.5,1,1.6,1.7,164,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,8.2,4.9,0,0,5.3,4.5,7.8,0,5.5,5,1.7,2,0.2,1.4,9,0.5,1.8,0,1.6,1,6.5,4.4,x,6.4,6.4,2.1,3.6,2.2,2.6,4.8,4.7,58,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,0.1,0.1,0,8.8,3.2,3.6,0,0,0,2,2.5,4,0,2.3,0,3.3,0.9,0.9,1.9,1.8,0.9,1.6,x,3.3,3.3,3,2.2,2.4,2.5,2.9,2.1,145,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,0.1,0.1,0,0,0,0.1,3.6,0,2.5,1.4,1.9,3.5,0,1.8,1.1,0.3,0.5,0,1.7,0.6,0.9,1.4,3.8,4.4,4.1,0.9,0,2.6,1.2,2.8,1.8,161,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,8.7,10,8.5,7,5.1,8.3,9.3,0,6.5,7.5,5,4.2,0.7,3.7,7,1.8,5.1,2,5.4,3.8,5.6,4.7,3,7,5,6.6,5.1,5.9,5.9,5.5,5.8,24,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,0.1,0.1,5.8,4.2,0.5,2.5,0,0,0,1.3,1.3,4.8,0.1,1.9,0,0.9,0.9,0,1.7,0.9,0.5,1.2,2.8,2.6,2.7,2.7,0.2,3.4,2.1,2.4,1.6,170,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,0.1,6.1,0,0,3.2,2.3,2.8,0,2,2.2,1.2,1.2,0.3,1,1.5,1.1,0.4,0.1,2.4,1,1.3,1.2,2.8,6.4,4.6,2.1,0.3,1.7,1.4,3.2,2,153,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,2.7,4,0,0,0.5,1.6,7.3,0,5.1,3.5,0.9,0.7,0,0.6,4.7,0.2,0.3,0,0.4,0.2,2.7,1.7,x,2.3,2.3,2,0,0.2,0.7,1.5,2.1,145,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,2.3,8.4,3.2,7.2,1.1,5.2,0.1,0,0.1,3,2,5.7,2.3,3,0.9,1,1.4,2.8,2.6,2,1.5,2.3,x,6.3,6.3,4.6,2.9,4.4,4,5.3,3.3,105,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,0.1,5.5,0,0,0.5,1.5,5.6,0,3.9,2.8,6.9,6.4,3,5.8,0,3.3,5.9,0,4.1,3.6,2,4.2,5.5,6.2,5.9,7.7,7.4,8.4,7.8,7,4.4,62,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,7.4,5.2,0,0,0,3.2,0.2,0,0.1,1.8,3.7,4.8,4.7,4.2,0,1.1,2.7,0,4.4,2.2,1.2,2.8,4.5,4,4.3,5,5.1,5.2,5.1,4.7,2.9,114,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
