Shape_Area,County,ADM1_PCODE,Total_Population19,Male19,Female19,Households,Av_HH_Size,LandArea,PopDensity,Pop2009,Pop_change,Intersex19,myID,id
0.88473226,Baringo,KE030,666763,336322,330428,142518,5,10976,61,555561,111202,13,1,1
0.198098946,Bomet,KE036,875689,434287,441379,187641,5,2531,346,724186,151503,23,2,2
0.245058096,Bungoma,KE039,1670570,812146,858389,358796,5,3024,552,1630934,39636,35,3,3
0.147177863,Busia,KE040,893681,426252,467401,198152,5,1696,527,488075,405606,28,4,4
0.24443179,Elgeyo-Marakwet,KE028,454480,227317,227151,99861,5,3032,150,369998,84482,12,5,5
0.229413549,Embu,KE014,608599,304208,304367,182743,3,2821,216,516212,92387,24,6,6
3.54218783,Garissa,KE007,841353,458975,382344,141394,6,44736,19,623060,218293,34,7,7
0.384444299,Homa Bay,KE043,1131950,539560,592367,262036,4,3153,359,963794,168156,23,8,8
2.063850265,Isiolo,KE011,268002,139510,128483,58072,5,25350,11,143294,124708,9,9,9
1.779182997,Kajiado,KE034,1117840,557098,560704,316179,4,21871,51,687312,430528,38,10,10
0.24438141,Kakamega,KE037,1867579,897133,970406,433207,4,3020,618,1660651,206928,40,11,11
0.204178727,Kericho,KE035,901777,450751,451008,206036,4,2436,370,758339,143438,28,12,12
0.206628525,Kiambu,KE022,2417735,1187146,1230454,795241,3,2539,952,1623282,794453,135,13,13
1.025127241,Kilifi,KE003,1453787,704089,749673,298472,5,12540,116,1109735,344052,25,14,14
0.119858401,Kirinyaga,KE020,610411,302011,308369,204188,3,1478,413,528054,82357,31,15,15
0.106738605,Kisii,KE045,1266860,605784,661038,308054,4,1323,958,1152282,114578,38,16,16
0.216511079,Kisumu,KE042,1155574,560942,594609,300745,4,2085,554,968909,186665,23,17,17
2.475337547,Kitui,KE015,1136187,549003,587151,262942,4,30430,37,1012709,123478,33,18,18
0.673255439,Kwale,KE002,866820,425121,441681,173176,5,8267,105,649931,216889,18,19,19
0.774806915,Laikipia,KE031,518580,259440,259102,149271,3,9532,54,399227,119353,18,20,20
0.491573345,Lamu,KE005,143920,76103,67813,37963,4,6253,23,101539,42381,4,21,21
0.491163705,Machakos,KE016,1421932,710707,711191,402466,4,6043,235,1098584,323348,34,22,22
0.664602756,Makueni,KE017,987653,489691,497942,244669,4,8170,121,884527,103126,20,23,23
2.11434546,Mandera,KE009,867457,434976,432444,125763,7,25940,33,1025756,-158299,37,24,24
6.185189867,Marsabit,KE010,459785,243548,216219,77495,6,70944,6,291166,168619,18,25,25
0.568086227,Meru,KE012,1545714,767698,777975,426360,4,7006,221,1356301,189413,41,26,26
0.255483391,Migori,KE044,1116436,536187,580214,240168,5,2614,427,917170,199266,35,27,27
0.019024039,Mombasa,KE001,1208333,610257,598046,378422,3,220,5495,939370,268963,30,28,28
0.205193766,Murang'a,KE021,1056640,523940,532669,318105,3,2524,419,942581,114059,31,29,29
0.057495597,Nairobi,KE047,4397073,2192452,2204376,1506888,3,704,6247,3138369,1258704,245,30,30
1.283618686,Nakuru,KE032,2162202,1077272,1084835,616046,4,7462,290,1603325,558877,95,31,31
0.230384085,Nandi,KE029,885711,441259,444430,199426,4,2856,310,752965,132746,22,32,32
0.780229668,Narok,KE033,1157873,579042,578805,241125,5,17950,65,850920,306953,26,33,33
0.072890047,Nyamira,KE046,605576,290907,314656,150669,4,897,675,598252,7324,13,34,34
0.265397952,Nyandarua,KE018,638289,315022,323247,179686,4,3286,194,596268,42021,20,35,35
0.270909172,Nyeri,KE019,759164,374288,384845,248050,3,3325,228,693558,65606,31,36,36
1.707814099,Samburu,KE025,310327,156774,153546,65910,5,21065,15,223947,86380,7,37,37
0.286004799,Siaya,KE041,993183,471669,521496,250698,4,2530,393,842304,150879,18,38,38
1.394198008,Taita Taveta,KE006,340671,173337,167327,96429,4,17152,20,284657,56014,7,39,39
3.185405344,Tana River,KE004,315943,158550,157391,68242,5,37951,8,240075,75868,2,40,40
0.209683214,Tharaka-Nithi,KE013,393177,193764,199406,109860,4,2564,153,365330,27847,7,41,41
0.201893078,Trans Nzoia,KE026,990341,489107,501206,223808,4,2495,397,818757,171584,28,42,42
5.708425717,Turkana,KE023,926976,478087,448868,164519,6,68233,14,855399,71577,21,43,43
0.275976069,Uasin Gishu,KE027,1163186,580269,582889,304943,4,3392,343,894179,269007,28,44,44
0.045533024,Vihiga,KE038,590013,283678,306323,143365,4,564,1047,554622,35391,12,45,45
4.606489498,Wajir,KE008,781263,415374,365840,127932,6,56773,14,661941,119322,49,46,46
0.756343702,West Pokot,KE024,621241,307013,314213,116182,5,9123,68,512690,108551,15,47,47
