Organisation,Sector,Mantiqa,Activity
ACF,TEST DATA 1,Benghazi,Preventing and mitigating the spread and the psychosocial impact of COVID-19
ACTED,TEST DATA 1,Benghazi,e-card distribution
ACTED,TEST DATA 1,Sebha,e-card distribution
ACTED,TEST DATA 1,Benghazi,QIPS
ACTED,TEST DATA 1,Derna,QIPS
ACTED,TEST DATA 1,Sebha,QIPS
ACTED,TEST DATA 1,Wadi Ashshati,QIPS
ACTED,TEST DATA 1,Benghazi,Protection Monitoring
ACTED,TEST DATA 1,Sebha,Protection Monitoring
ACTED,TEST DATA 1,Benghazi,Protection Capacity Building 
ACTED,TEST DATA 1,Sebha,Protection Capacity Building 
ACTED,TEST DATA 1,Benghazi,Protection Helpline
ACTED,TEST DATA 1,Benghazi,Protection Referral Network
ACTED,TEST DATA 1,Sebha,Protection Referral Network
ACTED,TEST DATA 1,Benghazi,Cash for Protection
ACTED,TEST DATA 1,Benghazi,Cash for Protection
ACTED,TEST DATA 1,Benghazi,School rehabilitation
ACTED,TEST DATA 1,Benghazi,Child Protection Training
ACTED,TEST DATA 1,Benghazi,Child Protection Training
ACTED,TEST DATA 2,Benghazi,Teacher training
ACTED,TEST DATA 2,Benghazi,PSS and recreational activities for children
ACTED,TEST DATA 2,Benghazi,Case Management
ACTED,TEST DATA 2,Benghazi,Catch-up classes
ACTED,TEST DATA 2,Benghazi,Life-skills classes
ACTED,TEST DATA 2,Benghazi,Awareness raising on CP issues
ACTED,TEST DATA 2,Derna,CP/EiE training
ACTED,TEST DATA 2,Derna,Catch-up classes
ACTED,TEST DATA 2,Derna,PSS and recreational activities for children
ACTED,TEST DATA 2,Derna,Awareness raising on CP/EiE issues
ACTED,TEST DATA 2,Derna,Case Management
ACTED,TEST DATA 2,Derna,School rehabilitation
ACTED,TEST DATA 2,Benghazi,Health infrastructure rehabilitation
ACTED,TEST DATA 2,Ejdabia,Health infrastructure rehabilitation
ACTED,TEST DATA 2,Tobruk,Health infrastructure rehabilitation
ACTED,TEST DATA 2,Tripoli,CSO Capacity Building
ACTED,TEST DATA 2,Benghazi,CSO Capacity Building
ACTED,TEST DATA 2,Sebha,CSO Capacity Building
ACTED,TEST DATA 2,Sebha,Labor Market assessment
ACTED,TEST DATA 2,Sebha,Vocational Training
ACTED,TEST DATA 2,Sebha,Small business support
ACTED,TEST DATA 2,Sebha,Livelihood Protection
ACTED,TEST DATA 2,Ubari,Labor Market assessment
ACTED,TEST DATA 2,Ubari,Vocational Training
ACTED,TEST DATA 2,Ubari,Small business support
ACTED,TEST DATA 2,Ubari,Livelihood Protection
CEFA,TEST DATA 2,Azzawya,"Technical Needs (rehabilitation, medical equipment and training) Assessment of Zawiya Teaching Hospital; "
CEFA,TEST DATA 2,Tripoli,Distribution of NFIs based on needs 
CEFA,TEST DATA 2,Tripoli,"Distribution of health equipment, safety boxes, medicines, PPE"
CEFA,TEST DATA 2,Tripoli,"Food complements for children under 3 yrs old, breastfeeding mothers and pregnant women"
CEFA,TEST DATA 2,Tripoli,"MHPSS for children, mothers and adolescences"
CEFA,TEST DATA 2,Tripoli,"Distribution of health equipment, medicines, PPE"
CESVI,TEST DATA 2,Misrata,Vulnerability/Protection Assessment
CESVI,TEST DATA 2,Misrata,Vulnerability/Protection Assessment
CESVI,TEST DATA 2,Misrata,PSS
CESVI,TEST DATA 2,Misrata,PSS
CESVI,TEST DATA 2,Misrata,Case Management
CESVI,TEST DATA 2,Misrata,Case Management
CESVI,TEST DATA 2,Misrata,Individuals accomondated in host families
CESVI,TEST DATA 2,Misrata,IPA
CESVI,TEST DATA 2,Misrata,CRI's distribution
CESVI,TEST DATA 2,Misrata,CRI's distribution
CESVI,TEST DATA 2,Misrata,Cash for rent
