Organisation,Sector,Mantiqa,ADM2_PCODE
REACH,Multisector,Al Jabal Al Akhdar,LY0106
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Akhdar,LY0106
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Akhdar,LY0106
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,Protection,Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
DRC,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
IMC,Health,Al Jabal Al Gharbi,LY0216
IRC,Health,Al Jabal Al Gharbi,LY0216
IRC,Health,Al Jabal Al Gharbi,LY0216
REACH,Multisector,Al Jabal Al Gharbi,LY0216
REACH,Multisector,Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
REACH,MCPA (multipurpose cash assistance),Al Jabal Al Gharbi,LY0216
TDH,Health,Al Jabal Al Gharbi,LY0216
TDH,Health,Al Jabal Al Gharbi,LY0216
DRC,Shelter/NFIs,Aljfara,LY0212
DRC,Protection,Aljfara,LY0212
DRC,Protection,Aljfara,LY0212
DRC,Protection,Aljfara,LY0212
DRC,Protection,Aljfara,LY0212
DRC,Protection,Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
DRC,MCPA (multipurpose cash assistance),Aljfara,LY0212
REACH,Multisector,Aljfara,LY0212
REACH,MCPA (multipurpose cash assistance),Aljfara,LY0212
REACH,MCPA (multipurpose cash assistance),Aljfara,LY0212
REACH,MCPA (multipurpose cash assistance),Aljfara,LY0212
REACH,MCPA (multipurpose cash assistance),Aljfara,LY0212
REACH,Multisector,Aljufra,LY0317
REACH,MCPA (multipurpose cash assistance),AlJufra,LY0317
REACH,MCPA (multipurpose cash assistance),AlJufra,LY0317
GC,Protection,Alkufra,LY0107
PUI,Health,Alkufra,LY0107
PUI,Protection,Alkufra,LY0107
PUI,Health,Alkufra,LY0107
REACH,Protection,Alkufra,LY0107
REACH,Multisector,Alkufra,LY0107
REACH,Multisector,Alkufra,LY0107
REACH,MCPA (multipurpose cash assistance),Alkufra,LY0107
REACH,MCPA (multipurpose cash assistance),Alkufra,LY0107
DRC,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,Multisector,Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,MCPA (multipurpose cash assistance),Almargeb,LY0210
REACH,Multisector,Almarj,LY0102
REACH,MCPA (multipurpose cash assistance),Almarj,LY0102
REACH,MCPA (multipurpose cash assistance),Almarj,LY0102
CEFA,Health,Azzawya,LY0213
DRC,MCPA (multipurpose cash assistance),Azzawya,LY0213
DRC,MCPA (multipurpose cash assistance),Azzawya,LY0213
GVC,Health,Azzawya,LY0213
Helpcode,Health,Azzawya,LY0213
REACH,Multisector,Azzawya,LY0213
REACH,Multisector,Azzawya,LY0213
REACH,MCPA (multipurpose cash assistance),Azzawya,LY0213
REACH,MCPA (multipurpose cash assistance),Azzawya,LY0213
TDH,Health,Azzawya,LY0213
TDH,Health,Azzawya,LY0213
TDH,Education,Azzawya,LY0213
TDH,Protection,Azzawya,LY0213
ACF,Health,Benghazi,LY0213
ACTED,MCPA (multipurpose cash assistance),Benghazi,LY0103
ACTED,Other,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Education,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Protection,Benghazi,LY0103
ACTED,Health,Benghazi,LY0103
ACTED,Other,Benghazi,LY0103
DDG,Protection,Benghazi,LY0103
DDG,Protection,Benghazi,LY0103
DDG,Protection,Benghazi,LY0103
GC,Protection,Benghazi,LY0103
HI,Health,Benghazi,LY0103
HI,Health,Benghazi,LY0103
HI,Health,Benghazi,LY0103
HI,Health,Benghazi,LY0103
HI,Multisector,Benghazi,LY0103
IMC,Health,Benghazi,LY0103
IMC,Protection,Benghazi,LY0103
IMC,Health,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
