"Organisation","SectorCluster","County"
"Action Africa Help - International","Health","Pariang"
"Action Africa Help - International","FSL","Juba"
"Action Against Hunger USA","Nutrition","Fangak"
"Action Against Hunger USA","Nutrition","Aweil Centre"
"Action Against Hunger USA","Nutrition","Aweil East"
"Action Against Hunger USA","Nutrition","Malakal"
"Action Against Hunger USA","Nutrition","Gogrial East"
"Action Against Hunger USA","Nutrition","Gogrial West"
"Action Against Hunger USA","FSL","Aweil East"
"Afro-Canadian Evangelical Mission","WASH","Maridi"
"Afro-Canadian Evangelical Mission","WASH","Mvolo"
"Afro-Canadian Evangelical Mission","Nutrition","Mundri East"
"Afro-Canadian Evangelical Mission","Nutrition","Mundri West"
"Agency for Technical Cooperation and Development","ES & NFIs","Akobo"
"Agency for Technical Cooperation and Development","CCCM","Juba"
"Agency for Technical Cooperation and Development","CCCM","Bor South"
"Agency for Technical Cooperation and Development","FSL","Akobo"
"Agency for Technical Cooperation and Development","FSL","Bor South"
"Agency for Technical Cooperation and Development","FSL","Awerial"
"Agency for Technical Cooperation and Development","FSL","Maban"
"Agency for Technical Cooperation and Development","FSL","Tonj South"
"Agency for Technical Cooperation and Development","FSL","Wau"
"American Refugee Committee","Nutrition","Kajo-keji"
"American Refugee Committee","Nutrition","Aweil West"
"American Refugee Committee","Health","Aweil Centre"
"American Refugee Committee","Health","Abiemnhom"
"American Refugee Committee","Health","Mayendit"
"American Refugee Committee","Protection","Kapoeta East"
"American Refugee Committee","Protection","Kapoeta South"
"American Refugee Committee","Protection","Aweil Centre"
"American Refugee Committee","Protection","Ulang"
"AMREF Health Africa","Nutrition","Yambio"
"Association of Christian Resource Organizations Serving Sudan","ES & NFIs","Morobo"
"Association of Christian Resource Organizations Serving Sudan","Nutrition","Juba"
"Association of Christian Resource Organizations Serving Sudan","Nutrition","Lainya"
"Association of Christian Resource Organizations Serving Sudan","Nutrition","Yei"
"Association of Christian Resource Organizations Serving Sudan","Health","Rumbek East"
"Association of Christian Resource Organizations Serving Sudan","Health","Yirol West"
"Association of Volunteers for International Service","Nutrition","Ikotos"
"Association of Volunteers for International Service","Education","Ikotos"
"Association of Volunteers for International Service","Education","Kapoeta East"
"Association of Volunteers for International Service","Education","Kapoeta North"
"Association of Volunteers for International Service","Education","Kapoeta South"
"Association of Volunteers for International Service","Education","Magwi"
"Association of Volunteers for International Service","Education","Torit"
"Association of Volunteers for International Service","Education","Cueibet"
"Association of Volunteers for International Service","FSL","Ikotos"
"Association of Volunteers for International Service","FSL","Cueibet"
"CARE International","Nutrition","Abiemnhom"
"CARE International","Nutrition","Mayom"
"CARE International","Nutrition","Pariang"
"CARE International","Nutrition","Rubkona"
"CARE International","Health","Abiemnhom"
"CARE International","Health","Panyijiar"
"CARE International","Health","Pariang"
"CARE International","FSL","Duk"
"CARE International","FSL","Twic East"
"CARE International","FSL","Koch"
"Caritas","ES & NFIs","Torit"
"Caritas","ES & NFIs","Wau"
"Catholic Medical Mission Board","Nutrition","Ezo"
"Catholic Medical Mission Board","Nutrition","Mvolo"
"Catholic Medical Mission Board","Nutrition","Nzara"
"Catholic Medical Mission Board","Nutrition","Yambio"
"Catholic Medical Mission Board","Health","Mvolo"
"Catholic Medical Mission Board","Health","Yambio"
"Catholic Organization for Relief and Development Aid","WASH","Jur River"
"Catholic Organization for Relief and Development Aid","WASH","Wau"
"Catholic Organization for Relief and Development Aid","Nutrition","Guit"
"Catholic Organization for Relief and Development Aid","Nutrition","Rubkona"
"Catholic Organization for Relief and Development Aid","Health","Budi"
"Catholic Organization for Relief and Development Aid","Health","Torit"
"Catholic Organization for Relief and Development Aid","Health","Fashoda"
"Catholic Organization for Relief and Development Aid","Health","Guit"
"Catholic Organization for Relief and Development Aid","Health","Rubkona"
"Catholic Organization for Relief and Development Aid","Health","Raga"
"Catholic Organization for Relief and Development Aid","Health","Wau"
"Catholic Organization for Relief and Development Aid","FSL","Fashoda"
