myID,Country,ISO,Deaths,Code_Region,Injured,Missing,Housed_Destroyed,Damaged_houses,Victims,Affected,Relocated,Evacuated,LossesUSD,Losses_Local,Educational_centres,Hospitals,Crops_per_ha,Lost_cattle,roads_mts
1,Baringo,BAR,44,1,22,,634,,,9174,,,,342000,,,2160,67,
2,Bomet,BOM,25,2,28,,,,,3,,,,,,,,,
3,Bungoma,BGM,49,3,80,,,53,2,21178,,,,,,,,,
4,Busia,BSI,34,4,36,,11,,,94241,2295,,,,2,,1770,50,
5,Embu,EMB,35,5,15,,1,,,154831,,,,,,,,,
6,Garissa,GAR,38,6,49,,,100,,35101,,10,,,,,,2000,
7,Homa Bay,HBY,110,7,60,,59,5,7,2943,296,2234,,,,,395,257,
8,Isiolo,ISL,33,8,27,,555,354,,285959,,1775,,,,,40,,
9,Kajiado,KJD,48,9,18,,90,,,17,,,,,,,,,
10,Kakamega,KKG,79,10,149,,2,,9,478915,,,,,,,1090,,
11,Elgeiyo Marakwet,EMT,52,11,16,3,150,,,907,900,,,,,,,,
12,Kericho,KRC,12,12,2,,2,,,14,,,,,,,10,,
13,Kiambu,KMB,62,13,42,,4,11,202330,879265,9,2,,2000000,,,100,,
14,Kilifi,KLF,23,14,30,,947,70,1,356505,2530,,,,,,,,
15,Kirinyaga,KRN,16,15,4,,36,,84988,316667,,,,,,,,,
16,Kisii,KSS,47,16,21,,37,25,7,3132,,,,460000,,,6,,
17,Kisumu,KSM,66,17,106,,412,614,,28751,100,522,,,3,,272,,
18,Kitui,KTI,26,18,56,,10,92,,653443,,,,,,,,,
19,Kwale,KWL,15,19,,,25,,3,244398,,,,,,,,,
20,Laikipia,LKP,18,20,17,,10,20,,8,,,,1000000,,,1100,,
21,Lamu,LMU,6,21,,,174,,,17224,,,,,,,,,
22,Machakos,MCK,88,22,76,,31,1,,480413,,1,,,,,,,
23,Makueni,MKN,44,23,113,,12,10,,99568,,,,2200000,,,60,,
24,Mandera,MND,30,24,456,,300,2000,,14852,1500,,,54649746,,,2045.7,152,
25,Marsabit,MRS,59,25,13,2,820,,4,284112,66,,,,,,,760,
26,Meru,MRU,47,26,25,,21,,,298413,,,,570000,,,31380,53,
27,Migori,MGR,60,27,21,1,373,,3,4761,107,,,,,,,,
28,Mombasa,MBS,27,28,14,,208,22,2,626735,,,,,,,,,
29,Muranga,MRN,50,29,23,,79,2,135047,445530,38,,,,,,,,
30,Nairobi,NRB,203,30,285,2,4447,469,,241,,140,,250000,,,50,,
31,Nakuru,NKR,121,31,150,,1004,2,1,3794,,,,800000,,,6600,7,
32,Nandi,NDI,40,32,8,,3,1,,38,,,,,,,,,
33,Narok,NRK,87,33,11,4,76,,40,1936,,,,210000,1,,,656,
34,Nyamira,NYM,4,34,,,,,,24079,,,,,,,,,
35,Nyandarua,NYD,19,35,20,3,39,1,81373,367807,,,,,,,1050,45360,
36,Nyeri,NYR,28,36,11,1,7,10,133721,398505,,,,2050000,,,600,,
37,Samburu,SMB,19,37,7,,,,,189826,,,,,,,,,
38,Siaya,SYA,36,38,9,,232,1001,302,25040,,15,,1000000,,,5113,,
39,Taita Taveta,TTV,23,39,5,,,,,348120,,,,,,,,,
40,Tana River,TRV,3,40,,,3975,1884,,308189,,,,80000,,,6018,,
41,Tharaka Nithi,TRN,2,41,,,,,,36548,,,,,,,,,
42,Trans Nzoia,TRZ,9,42,,4,1417,200,,32572,,,,2500000,,,2800,,
43,Turkana,TRN,129,43,8,,10439,1002,,35670,2481,,,300000,,,36,1451,
44,Uasin Gishu,USG,19,44,8,,,,,36,,,,,,,1000,2,
45,Vihiga,VHG,18,45,21,,,,,,,,,,,,,,
46,Wajir,WJR,5,46,18,,,,,80223,400,,,,,,,,
47,West Pokot,WPT,59,47,48,,609,,2,2575,,,,,,,101,,
