Alpha_ID,Country,Iso,myID,pop_all_sexes,pop_male,pop_female,pop_av_annual_g_rate,pop_active,pop_0_14_years,pop_15_64_years,pop_65_more_years,pop_econ_activ_agric,pop_crude_birth_rate,pop_crude_death_rate,pop_total_fertility_rt,pop_proportion_urban,pop_life_exp_at_birth,pop_dependency_ratio,helt_u_five_mort_rt_all,helt_infant_mort_rt_all,helt_births_reg_per_1000,helt_deaths_reg_per_1000,helt_mort_rt_neonatal
1,Algeria,Dza,1,39667,19958,19709,1.9,11089,11320,25991,2355,28.7,23.7,5.1,2.8,72.5,75,52.6,25.5,21.9,23.7,5.1,15.5
2,Angola,Ago,2,25022,12416,12606,3.2,8277,11923,12520,579,80.6,45,13.4,6,40.2,52.7,99.9,156.9,96,45,13.4,48.7
3,Benin,Ben,3,10880,5426,5454,2.6,4462,4587,5979,315,37.4,35.6,9.2,4.7,44,59.8,82,99.5,64.2,35.6,9.2,31.8
4,Botswana,Bwa,4,2195,1078,1117,0.7,490,702,1392,101,39.7,22.8,7.7,2.7,68.7,64.5,0.6,43.6,34.8,24.6,7.5,21.9
5,Burkina Faso,Bfa,5,18106,8984,9121,3,7989,8251,9421,433,102.6,39.5,9.3,5.4,29.5,59,92.2,88.6,60.9,39.5,9.3,26.7
6,Burundi,Bdi,6,11179,5524,5655,3.2,5085,5008,5894,276,78,43.5,11.1,5.9,11.7,57.1,89.7,81.7,54.1,43.5,11.1,28.6
7,Cameroon,Cmr,7,23344,11672,11672,2.5,9733,9927,12669,748,36.6,36.2,11.2,4.6,54.5,56,84.3,87.9,57.1,36.2,11.2,25.7
8,Cape Verde,Cpv,8,521,257,264,1.6,223,154,342,24,13.4,21.1,5.3,2.3,64,73.5,52,24.5,20.7,21.1,5.3,12.2
9,Central African Republic,Caf,9,4900,2415,2485,1.9,2152,1914,2798,189,60.7,33.4,14.1,4.2,39.2,51.5,75.2,130.1,91.5,33.4,14.1,42.6
10,Chad,Tcd,10,14037,7028,7010,3.1,4961,6699,6995,344,63,44.8,13.8,6.1,21.8,51.9,100.7,138.7,85,44.8,13.8,39.3
11,Comoros,Com,11,788,398,391,2.6,217,318,449,22,116.3,33.4,7.4,4.4,27.6,63.6,75.6,73.5,55.1,33.4,7.4,34
13,Democratic Republic of Congo,Cod,12,77267,38533,38734,3.1,28542,35537,39439,2290,54.2,41.5,10.1,5.9,39.2,59.1,95.9,98.3,74.5,41.5,10.1,30.1
14,Djibouti,Dji,13,888,446,442,1.6,144,291,560,37,218.8,24.7,8.6,3.1,78.4,62.3,58.5,65.3,54.2,24.7,8.6,33.4
15,Egypt,Egy,14,91508,46240,45268,2.1,26576,30344,56387,4777,24.2,27.3,6.1,3.3,39.9,71.3,62.3,24,20.3,27.3,6.1,12.8
16,Equatorial Guinea,Gnq,15,845,433,412,2.4,381,332,489,24,51.4,34.6,10.6,4.7,37.8,57.9,72.9,94.1,68.2,34.6,10.6,33.1
17,Eritrea,Eri,16,5228,2619,2609,2.7,2299,2237,2854,138,77.1,33.4,6.4,4.2,29.2,64.2,83.2,46.5,34.1,33.4,6.4,18.4
18,Ethiopia,Eth,17,99391,49608,49783,2.5,45654,41188,54740,3463,77.3,31.9,7.2,4.3,19.4,64.6,81.6,59.2,41.4,31.9,7.2,27.7
19,Gabon,Gab,18,1725,872,853,2.1,421,641,997,88,44.9,29.7,8.4,3.8,88.5,64.9,73.1,50.8,36.1,29.7,8.4,23.2
20,Gambia,Gmb,19,1991,986,1005,3.3,579,919,1025,46,120.3,41.7,8.6,5.7,59,60.5,94.2,68.9,47.9,41.7,8.6,29.9
21,Ghana,Gha,20,27410,13635,13774,2.3,12099,10640,15840,930,57,32.3,8.8,4.1,53.2,61.5,73,61.6,42.8,32.3,8.8,28.3
22,Guinea,Gin,21,12609,6322,6286,2.7,5859,5363,6860,386,73.1,36.4,9.7,4.9,36.4,59.2,83.8,93.7,61,36.4,9.7,31.3
23,Guinea Bissau,Gnb,22,1844,915,929,2.5,734,752,1034,58,66.5,36.6,11.9,4.8,47.8,55.5,78.4,92.5,60.3,36.6,11.9,39.7
12,Ivory Coast,Civ,23,22702,11546,11155,2.4,7915,9642,12372,687,35.5,36.9,13.3,4.9,50.8,51.9,83.5,92.6,66.6,36.9,13.3,37.9
