Alpha_ID,Country,Iso,myID,Totalpops,pop_male,Malepops,pop_female,Femalepops,pop_av_annual_g_rate,pop_active,Activpops,pop_0_14_years,zero214yrspop,pop_15_64_years,Fifteen264yrspop,pop_65_more_years,Morethan65yrspop,pop_econ_activ_agric,pop_crude_birth_rate,pop_crude_death_rate,pop_total_fertility_rt,pop_proportion_urban,pop_life_exp_at_birth,pop_dependency_ratio,helt_u_five_mort_rt_all,helt_infant_mort_rt_all,helt_births_reg_per_1000,helt_deaths_reg_per_1000,helt_mort_rt_neonatal
1,Algeria,Dza,1,39.667,19958,19.958,19709,19.709,1.9,11089,11.089,11320,11.32,25991,25.991,2355,2.355,28.7,23.7,5.1,2.8,72.5,75,52.6,25.5,21.9,23.7,5.10,15.50
2,Angola,Ago,2,25.022,12416,12.416,12606,12.606,3.2,8277,8.277,11923,11.923,12520,12.52,579,0.579,80.6,45,13.4,6,40.2,52.7,99.9,156.9,96,45,13.40,48.70
3,Benin,Ben,3,10.88,5426,5.426,5454,5.454,2.6,4462,4.462,4587,4.587,5979,5.979,315,0.315,37.4,35.6,9.2,4.7,44,59.8,82,99.5,64.2,35.6,9.20,31.80
4,Botswana,Bwa,4,2.195,1078,1.078,1117,1.117,0.7,490,0.49,702,0.702,1392,1.392,101,0.101,39.7,22.8,7.7,2.7,68.7,64.5,0.6,43.6,34.8,24.6,7.50,21.90
5,Burkina Faso,Bfa,5,18.106,8984,8.984,9121,9.121,3,7989,7.989,8251,8.251,9421,9.421,433,0.433,102.6,39.5,9.3,5.4,29.5,59,92.2,88.6,60.9,39.5,9.30,26.70
6,Burundi,Bdi,6,11.179,5524,5.524,5655,5.655,3.2,5085,5.085,5008,5.008,5894,5.894,276,0.276,78,43.5,11.1,5.9,11.7,57.1,89.7,81.7,54.1,43.5,11.10,28.60
7,Cameroon,Cmr,7,23.344,11672,11.672,11672,11.672,2.5,9733,9.733,9927,9.927,12669,12.669,748,0.748,36.6,36.2,11.2,4.6,54.5,56,84.3,87.9,57.1,36.2,11.20,25.70
8,Cape Verde,Cpv,8,0.521,257,0.257,264,0.264,1.6,223,0.223,154,0.154,342,0.342,24,0.024,13.4,21.1,5.3,2.3,64,73.5,52,24.5,20.7,21.1,5.30,12.20
9,Central African Republic,Caf,9,4.9,2415,2.415,2485,2.485,1.9,2152,2.152,1914,1.914,2798,2.798,189,0.189,60.7,33.4,14.1,4.2,39.2,51.5,75.2,130.1,91.5,33.4,14.10,42.60
10,Chad,Tcd,10,14.037,7028,7.028,7010,7.01,3.1,4961,4.961,6699,6.699,6995,6.995,344,0.344,63,44.8,13.8,6.1,21.8,51.9,100.7,138.7,85,44.8,13.80,39.30
