Male,Female,Total_Beneficiaries,# of HHs,State,TS,TS_PCODE,Total_amount
29,16,45,45,Kachin,Bamaw,MMR013044,
16234,17985,35182,7366.4,Kachin,Bhamo,MMR001012,1046625.316
70,70,140,28,Mon,Bilin,MMR011010,12000
,,745.2,162,Sagaing,Budalin,MMR005013,7775
7487,11700,19187,3210.5,Rakhine,Buthidaung,MMR012011,585610.7715
3127.27,3155.73,6283,1270.4,Kachin,Chipwi,MMR001006,41258.35743
,,396,90,Kayah,Demoso,MMR002002,15000
4319.4,4383.6,8703,1775.79,Chin,Falam,MMR004002,204085.362
10844.4,11895.6,22740,4548,Chin,Hakha,MMR004003,505147.2444
3707.78,4206.22,7966,1633.2,Kachin,Hpakant,MMR001010,96443.04701
,,220,50,Kayin,Hpapun,MMR003003,5000
,,418,95,Kayah,Hpruso,MMR002003,15000
103,193,296,99,Shan_North,Hseni,MMR015003,13380
32500.698,33063.102,65563.8,13553.8,Sagaing,Kale,MMR005028,1313876.396
,,1320.2,287,Sagaing,Kani,MMR005017,13517.5
0,0,1540.2,337,Kayin,Kawkareik,MMR003007,18517.5
6945.2,7429.8,14375,2900.8,Sagaing,Kawlin,MMR005025,396011.1813
6834.2,8841.8,15676,3332.2,Shan_North,Kutkai,MMR015011,338777.0594
,,396,90,Bago_East,Kyaukkyi,MMR007011,10000
44,82,126,32,Shan_North,Kyaukme,MMR015012,1718.181818
11506,14229,38025.4,7740.2,Rakhine,Kyauktaw,MMR012004,597284.6487
388,409,797,198,Ayeyarwady,Kyaunggon,MMR017007,10350
78,146,224,86,Shan_South,Kyethi,MMR014015,1425.454545
415,446,861,195,Ayeyarwady,Kyonpyaw,MMR017005,10350
,5000,10000,5000,Ayeyarwady,Labutta,MMR017018,867406
96,114,210,29,Shan_North,Lashio,MMR015001,
828,920,1748,500,Bago_West,Letpadan,MMR008008,37037.03704
3018,3606,6937,1519.6,Kachin,Mansi,MMR001014,137472.0327
455.43,437.57,893,190,Shan_North,Manton,MMR015019,2736
96,114,210,29,Shan_North,Mantone,MMR015019,
3470.4,3759.6,7230,1446,Chin,Matupi,MMR004008,69352.57919
25923.16,37682.84,63606,10640.66667,Rakhine,Maungdaw,MMR012010,1811295.872
420,450,869,185,Magway,Minbu,MMR009007,20070
2376,2574,21007.8,4616,Rakhine,Minbya,MMR012006,231146.7805
256.8,278.2,535,107,Chin,Mindat,MMR004006,1879.411765
735,787,1523,324,Magway,Minhla,MMR009013,17100
1542.55,1495.45,3038,606.6,Kachin,Mogaung,MMR001008,31016.8547
457.04,475.96,1009,206.8,Kachin,Mohnyin,MMR001008,25222.29077
2631,2944,6339,1376,Kachin,Momauk,MMR001012,296086.2524
2010,3735,5745,1384,Shan_South,Monghsu,MMR014018,119385.4546
1346,1527,2873,780,Bago_West,Monyo,MMR008013,57777.77778
7274.6,7724.4,33062.2,7583.4,Rakhine,Mrauk-U,MMR012004,279391.8336
96,114,210,29,Shan_North,Mung Ba ,MMR012012,
96,114,210,29,Shan_North,Mung Baw,MMR012012,
967.04,985.96,1953,488,Shan_North,Muse,MMR015010,10812.30769
812,1045,1857,655,Ayeyarwady,Myanaung,MMR017011,48518.51852
3597,4739,8336,1914,Sagaing,Myaung,MMR005004,57687
1408,2617,4025,805,Rakhine,Myebon,MMR012006,24094.36364
1398,1590,2988,736,Sagaing,Myinmu,MMR005002,8000
14841.66,15981.34,31163,6352.6,Kachin,Myitkyina,MMR001002,1112591.824
4766,5404.5,10170.5,2136.6,Shan_North,Namhkan,MMR015011,127378.1538
610.85,964.15,1575,380,Shan_North,Namtu,MMR015016,15127.27273
1464,1586,3050,610,Magway,Natmauk,MMR009006,45896.30769
1999,1938,3937,804,Shan_South,Nyaungshwe,MMR014002,116805
13089.6,25180.4,49270,16454,Magway,Pakokku,MMR009019,2256425.521
1123.02,1078.98,2202,367,Shan_North,Pang Hkam,MMR015317,67140.76756
8622,9490,18112,3622.4,Ayeyarwady,Pathein,MMR017001,77401.7094
599,4614,8713,3844,Rakhine,Pauktaw,MMR012008,1053122.727
3790,4085,12539,2883,Rakhine,Ponnagyun,MMR012003,57168
1250.1,1183.9,2434,495,Kachin,Puta-O,MMR001015,42077.28436
5823.4,6206.6,12030,2426,Magway,Pwintbyu,MMR009009,196325.1183
,,437,95,Sagaing,Salingyi,MMR005018,5645
,,453.2,103,Kayah,Shadaw,MMR002004,20000
269,349,782,151.6,Kachin,Shwegu,MMR001011,33057.38752
2500,,5400,500,Yangon,Shwepyithar,MMR013007,262905
5028,5392,10420,2094,Magway,Sidoktaya,MMR009012,221836.555
10924.4,11981.6,26156,5213,Rakhine,Sittwe,MMR012002,255691.482
52.8,57.2,110,22,Sagaing,Tamu,MMR005030,975.2136752
831.3,798.7,1630,326,Shan_North,Tangyan,MMR015004,26432.90598
35,36,71,14.2,Tanintharyi,Tanintharyi,MMR006008,2272
3872,4137,8009,1601.8,Chin,Tedim,MMR004005,147475.1881
6217,6612,12829,2708.8,Ayeyarwady,Thabaung,MMR017004,219182.5955
643.2,696.8,1340,268,Chin,Thantlang,MMR004003,6723.529412
31912.84,35168.16,67320,15326.2,Kachin,Waingmaw,MMR001003,1691335.759
1562.4,1692.6,3255,651,Magway,Yenangyaung,MMR009002,34767.38462
3724.8,4035.2,7760,1552,Magway,Yesagyo,MMR009019,95375.34292
